gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note,country_code,country,gleam_region,hg/ha,processed_item_code,processed_item,fbs_item_code,fbs_item,product_fraction,value_fraction,kg/ha,kg_co2/ha,kg_co2/kg,footprint_type,footprint
Soy,236,Soybeans,Mali,6.46,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,133,Mali,Sub-Saharan Africa,7678.0,236,Soybeans,2555,Soyabeans,1.0,1.0,767.8,6460.0,8.413649387861422,kg_co2_luc_human_palm_soy,8.413649387861422
Soy,236,Soybeans,Mali,6.46,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,133,Mali,Sub-Saharan Africa,7678.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,767.8,6460.0,15.892448843738245,kg_co2_luc_human_palm_soy,15.892448843738245
Soy,236,Soybeans,Myanmar,12.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,28,Myanmar,East Asia and Southeast Asia,11991.666666666666,236,Soybeans,2555,Soyabeans,1.0,1.0,1199.1666666666665,12030.0,10.031966643502434,kg_co2_luc_human_palm_soy,10.031966643502434
Soy,236,Soybeans,Myanmar,12.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,28,Myanmar,East Asia and Southeast Asia,11991.666666666666,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1199.1666666666665,12030.0,18.94927032661571,kg_co2_luc_human_palm_soy,18.94927032661571
Soy,236,Soybeans,Nepal,5.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,149,Nepal,South Asia,10344.0,236,Soybeans,2555,Soyabeans,1.0,1.0,1034.4,5380.0,5.201082753286929,kg_co2_luc_human_palm_soy,5.201082753286929
Soy,236,Soybeans,Nepal,5.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,149,Nepal,South Asia,10344.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1034.4,5380.0,9.824267422875312,kg_co2_luc_human_palm_soy,9.824267422875312
Soy,236,Soybeans,Panama,1.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,166,Panama,Latin America and the Caribbean,3881.3333333333335,236,Soybeans,2555,Soyabeans,1.0,1.0,388.1333333333333,1380.0,3.555479216763999,kg_co2_luc_human_palm_soy,3.555479216763999
Soy,236,Soybeans,Panama,1.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,166,Panama,Latin America and the Caribbean,3881.3333333333335,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,388.1333333333333,1380.0,6.715905187220888,kg_co2_luc_human_palm_soy,6.715905187220888
Soy,236,Soybeans,Paraguay,18.92,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,169,Paraguay,Latin America and the Caribbean,24666.666666666668,236,Soybeans,2555,Soyabeans,1.0,1.0,2466.666666666667,18920.0,7.67027027027027,kg_co2_luc_human_palm_soy,7.67027027027027
Soy,236,Soybeans,Paraguay,18.92,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,169,Paraguay,Latin America and the Caribbean,24666.666666666668,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,2466.666666666667,18920.0,14.488288288288288,kg_co2_luc_human_palm_soy,14.488288288288288
