country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,footprint,source
4,Algeria,Near East and North Africa,2734,Poultry Meat,mg_abx_tetracycline,0.00017519376998053918,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
5,American Samoa,Oceania,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
6,Andorra,Western Europe,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2731,Bovine Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2733,Pigmeat,mg_abx_oxytetracycline,3.5019587137573963e-06,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2733,Pigmeat,mg_abx_streptomycin,0.09996324295657463,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2733,Pigmeat,mg_abx_tetracycline,0.011365097516120271,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2734,Poultry Meat,mg_abx_oxytetracycline,4.1419208531354806e-05,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2734,Poultry Meat,mg_abx_streptomycin,1.1823093142769936,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
7,Angola,Sub-Saharan Africa,2734,Poultry Meat,mg_abx_tetracycline,0.1344200153331616,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2733,Pigmeat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2733,Pigmeat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
8,Antigua and Barbuda,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_streptomycin,0.002083225008159808,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2733,Pigmeat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2733,Pigmeat,mg_abx_streptomycin,0.0001807551423185199,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_streptomycin,0.0008851702991020263,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
9,Argentina,Latin America and the Caribbean,2734,Poultry Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
