country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw
CHE,,mg_abx_tetracyclines,4.292806389,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,8.585612778
SYR,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
TJK,,mg_abx_tetracyclines,10.30993202,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,20.61986404
THA,,mg_abx_tetracyclines,80.34181635,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,160.6836327
MKD,,mg_abx_tetracyclines,20.87062697,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,41.74125394
TLS,,mg_abx_tetracyclines,0.299646322,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,0.599292644
TGO,,mg_abx_tetracyclines,12.1924364,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,24.3848728
TKL,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
TON,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
TTO,,mg_abx_tetracyclines,15.26365278,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,30.52730556
TUN,,mg_abx_tetracyclines,6.102537179,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,12.205074358
TUR,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
TKM,,mg_abx_tetracyclines,17.4294313,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,34.8588626
TCA,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
TUV,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
UGA,,mg_abx_tetracyclines,15.19726082,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,30.39452164
