country_code,country,fbs_item_code,fbs_item,schar_freshwater_item,Aquaculture production (brackishwater),Aquaculture production (freshwater),Aquaculture production (marine),Capture production,mt_production_aqua,mt_production_total
10,Australia,2761.0,Freshwater Fish,diadromous_avg,0.0,249.03,56989.34,0.0,57238.369999999995,57238.369999999995
10,Australia,2761.0,Freshwater Fish,non_freshwater,3364.67,0.0,0.0,943.83,3364.67,4308.5
10,Australia,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,31246.72,0.0,31246.72
10,Australia,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,8252.0,78233.67,8252.0,86485.67
10,Australia,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,2951.0,13410.58,2951.0,16361.58
10,Australia,2765.0,Crustaceans,non_freshwater,4794.27,73.14,0.0,34172.11,4867.410000000001,39039.520000000004
10,Australia,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,2563.4300000000003,0.0,2563.4300000000003
10,Australia,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,11878.03,10688.11,11878.03,22566.14
10,Australia,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,266.3,0.0,266.3
10,Australia,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,0.0,1923.0,0.0,1923.0
11,Austria,2761.0,Freshwater Fish,catfish,0.0,500.57,0.0,350.0,500.57,850.5699999999999
11,Austria,2761.0,Freshwater Fish,diadromous_avg,0.0,3053.66,0.0,0.0,3053.66,3053.66
11,Austria,2761.0,Freshwater Fish,non_freshwater,0.0,695.8,0.0,0.0,695.8,695.8
11,Austria,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
12,Bahamas,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
12,Bahamas,2761.0,Freshwater Fish,tilapia,0.0,0.0,0.0,0.0,0.0,0.0
12,Bahamas,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,483.63,0.0,483.63
12,Bahamas,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,43.14,0.0,43.14
12,Bahamas,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,3.32,0.0,3.32
12,Bahamas,2765.0,Crustaceans,non_freshwater,0.0,0.0,5.0,6266.72,5.0,6271.72
12,Bahamas,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
12,Bahamas,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,3068.59,0.0,3068.59
12,Bahamas,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,280.51,0.0,280.51
13,Bahrain,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
13,Bahrain,2761.0,Freshwater Fish,non_freshwater,0.0,0.0,0.0,301.0,0.0,301.0
13,Bahrain,2762.0,Demersal Fish,non_freshwater,0.0,0.0,5.5,5381.0,5.5,5386.5
13,Bahrain,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,1356.0,0.0,1356.0
13,Bahrain,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,445.0,0.0,445.0
13,Bahrain,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,7454.0,0.0,7454.0
13,Bahrain,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,190.0,0.0,190.0
13,Bahrain,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
14,Barbados,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
14,Barbados,2761.0,Freshwater Fish,tilapia,0.0,25.0,0.0,0.0,25.0,25.0
14,Barbados,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,35.0,0.0,35.0
14,Barbados,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,1227.0,0.0,1227.0
14,Barbados,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,230.0,0.0,230.0
14,Barbados,2765.0,Crustaceans,non_freshwater,0.0,0.5,0.0,0.0,0.5,0.5
14,Barbados,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
16,Bangladesh,2761.0,Freshwater Fish,catfish,0.0,630729.0,0.0,929872.0,630729.0,1560601.0
16,Bangladesh,2761.0,Freshwater Fish,non_freshwater,0.0,1228852.0,0.0,532795.0,1228852.0,1761647.0
16,Bangladesh,2761.0,Freshwater Fish,tilapia,0.0,350258.0,0.0,0.0,350258.0,350258.0
16,Bangladesh,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,91728.0,0.0,91728.0
16,Bangladesh,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,4253.0,0.0,4253.0
16,Bangladesh,2764.0,"Marine Fish, Other",non_freshwater,132929.0,0.0,0.0,230865.0,132929.0,363794.0
16,Bangladesh,2765.0,Crustaceans,non_freshwater,84997.0,60835.0,0.0,106106.0,145832.0,251938.0
16,Bangladesh,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
17,Bermuda,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
