country_code,country,fbs_item_code,fbs_item,mt_production_aqua,mt_production_total,%_production_aqua
183,Romania,2762.0,Demersal Fish,0.0,72.58,0.0
183,Romania,2763.0,Pelagic Fish,0.0,79.05,0.0
183,Romania,2764.0,"Marine Fish, Other",0.0,4.2,0.0
183,Romania,2765.0,Crustaceans,0.04,0.04,1.0
183,Romania,2766.0,Cephalopods,0.0,0.0,0.0
183,Romania,2767.0,"Molluscs, Other",0.0,6973.19,0.0
183,Romania,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
184,Rwanda,2761.0,Freshwater Fish,3850.0,24760.199999999997,0.1554914742207252
185,Russian Federation,2761.0,Freshwater Fish,215863.0,938545.0,0.22999749612432008
185,Russian Federation,2762.0,Demersal Fish,0.0,2769209.9,0.0
185,Russian Federation,2763.0,Pelagic Fish,0.0,1068905.8599999999,0.0
185,Russian Federation,2764.0,"Marine Fish, Other",0.0,337.0,0.0
185,Russian Federation,2765.0,Crustaceans,142.0,141282.0,0.0010050820345125352
185,Russian Federation,2766.0,Cephalopods,0.0,98228.0,0.0
185,Russian Federation,2767.0,"Molluscs, Other",16799.0,40098.0,0.4189485759888274
185,Russian Federation,2769.0,"Aquatic Animals, Others",4916.0,24200.0,0.20314049586776858
185,Russian Federation,2775.0,Aquatic Plants,10573.0,19544.0,0.5409844453540729
187,"Saint Helena, Ascension and Tristan da Cunha",2761.0,Freshwater Fish,0.0,0.0,0.0
187,"Saint Helena, Ascension and Tristan da Cunha",2762.0,Demersal Fish,0.0,15.0,0.0
187,"Saint Helena, Ascension and Tristan da Cunha",2763.0,Pelagic Fish,0.0,355.0,0.0
187,"Saint Helena, Ascension and Tristan da Cunha",2764.0,"Marine Fish, Other",0.0,60.0,0.0
187,"Saint Helena, Ascension and Tristan da Cunha",2765.0,Crustaceans,0.0,392.68,0.0
187,"Saint Helena, Ascension and Tristan da Cunha",2766.0,Cephalopods,0.0,10.39,0.0
188,Saint Kitts and Nevis,2761.0,Freshwater Fish,1.0,1.0,1.0
188,Saint Kitts and Nevis,2762.0,Demersal Fish,0.0,193.0,0.0
188,Saint Kitts and Nevis,2763.0,Pelagic Fish,0.0,95.0,0.0
188,Saint Kitts and Nevis,2764.0,"Marine Fish, Other",0.0,2.0,0.0
188,Saint Kitts and Nevis,2765.0,Crustaceans,0.0,25.0,0.0
188,Saint Kitts and Nevis,2766.0,Cephalopods,0.0,0.0,0.0
188,Saint Kitts and Nevis,2767.0,"Molluscs, Other",0.0,340.0,0.0
188,Saint Kitts and Nevis,2775.0,Aquatic Plants,0.0,0.0,0.0
189,Saint Lucia,2761.0,Freshwater Fish,13.81,13.81,1.0
189,Saint Lucia,2762.0,Demersal Fish,0.0,42.26,0.0
189,Saint Lucia,2763.0,Pelagic Fish,0.0,1004.51,0.0
189,Saint Lucia,2764.0,"Marine Fish, Other",0.0,419.61,0.0
189,Saint Lucia,2765.0,Crustaceans,3.41,16.91,0.20165582495564754
189,Saint Lucia,2767.0,"Molluscs, Other",0.0,365.22,0.0
189,Saint Lucia,2775.0,Aquatic Plants,102.5,102.5,1.0
190,Saint Pierre and Miquelon,2761.0,Freshwater Fish,0.0,0.0,0.0
190,Saint Pierre and Miquelon,2762.0,Demersal Fish,0.0,476.0,0.0
190,Saint Pierre and Miquelon,2763.0,Pelagic Fish,0.0,234.0,0.0
190,Saint Pierre and Miquelon,2764.0,"Marine Fish, Other",0.0,24.0,0.0
190,Saint Pierre and Miquelon,2765.0,Crustaceans,0.0,150.0,0.0
190,Saint Pierre and Miquelon,2766.0,Cephalopods,0.0,0.0,0.0
190,Saint Pierre and Miquelon,2767.0,"Molluscs, Other",0.0,87.0,0.0
190,Saint Pierre and Miquelon,2769.0,"Aquatic Animals, Others",0.0,2359.0,0.0
191,Saint Vincent and the Grenadines,2761.0,Freshwater Fish,0.0,0.0,0.0
191,Saint Vincent and the Grenadines,2762.0,Demersal Fish,0.0,74.0,0.0
191,Saint Vincent and the Grenadines,2763.0,Pelagic Fish,0.0,1346.0,0.0
191,Saint Vincent and the Grenadines,2764.0,"Marine Fish, Other",0.0,6.0,0.0
191,Saint Vincent and the Grenadines,2765.0,Crustaceans,0.0,49.0,0.0
191,Saint Vincent and the Grenadines,2766.0,Cephalopods,0.0,0.0,0.0
191,Saint Vincent and the Grenadines,2767.0,"Molluscs, Other",0.0,285.0,0.0
191,Saint Vincent and the Grenadines,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
191,Saint Vincent and the Grenadines,2775.0,Aquatic Plants,0.0,0.0,0.0
192,San Marino,2761.0,Freshwater Fish,0.0,0.0,0.0
193,Sao Tome and Principe,2761.0,Freshwater Fish,0.0,0.0,0.0
193,Sao Tome and Principe,2762.0,Demersal Fish,0.0,2458.3,0.0
193,Sao Tome and Principe,2763.0,Pelagic Fish,0.0,2517.96,0.0
193,Sao Tome and Principe,2764.0,"Marine Fish, Other",0.0,1107.92,0.0
193,Sao Tome and Principe,2765.0,Crustaceans,0.0,0.0,0.0
193,Sao Tome and Principe,2766.0,Cephalopods,0.0,33.28,0.0
193,Sao Tome and Principe,2767.0,"Molluscs, Other",0.0,67.85,0.0
194,Saudi Arabia,2761.0,Freshwater Fish,13265.0,13309.17,0.9966812355691602
194,Saudi Arabia,2762.0,Demersal Fish,1300.0,31477.2,0.04129973441093871
194,Saudi Arabia,2763.0,Pelagic Fish,35.0,22588.91,0.0015494328854291774
194,Saudi Arabia,2764.0,"Marine Fish, Other",0.0,1111.0,0.0
194,Saudi Arabia,2765.0,Crustaceans,60800.0,73009.62,0.8327669696130455
194,Saudi Arabia,2766.0,Cephalopods,0.0,1431.9,0.0
194,Saudi Arabia,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
195,Senegal,2761.0,Freshwater Fish,324.0,32557.09,0.009951749373178009
195,Senegal,2762.0,Demersal Fish,0.0,62185.44,0.0
195,Senegal,2763.0,Pelagic Fish,0.0,381815.23,0.0
195,Senegal,2764.0,"Marine Fish, Other",0.0,9063.59,0.0
195,Senegal,2765.0,Crustaceans,0.0,5442.389999999999,0.0
195,Senegal,2766.0,Cephalopods,0.0,12463.49,0.0
195,Senegal,2767.0,"Molluscs, Other",686.0,11021.92,0.062239609795752465
195,Senegal,2775.0,Aquatic Plants,0.0,0.0,0.0
196,Seychelles,2761.0,Freshwater Fish,0.0,0.0,0.0
196,Seychelles,2762.0,Demersal Fish,0.0,2810.0,0.0
196,Seychelles,2763.0,Pelagic Fish,0.0,129432.0,0.0
196,Seychelles,2764.0,"Marine Fish, Other",0.0,2710.0,0.0
196,Seychelles,2765.0,Crustaceans,0.0,95.0,0.0
196,Seychelles,2766.0,Cephalopods,0.0,40.0,0.0
196,Seychelles,2769.0,"Aquatic Animals, Others",0.0,345.0,0.0
197,Sierra Leone,2761.0,Freshwater Fish,85.0,9815.0,0.008660213958227204
197,Sierra Leone,2762.0,Demersal Fish,0.0,52317.0,0.0
197,Sierra Leone,2763.0,Pelagic Fish,0.0,126792.0,0.0
197,Sierra Leone,2764.0,"Marine Fish, Other",0.0,11250.0,0.0
197,Sierra Leone,2765.0,Crustaceans,0.0,1415.0,0.0
197,Sierra Leone,2766.0,Cephalopods,0.0,121.0,0.0
197,Sierra Leone,2767.0,"Molluscs, Other",0.0,475.0,0.0
198,Slovenia,2761.0,Freshwater Fish,1229.6000000000001,1375.6,0.8938644954928759
198,Slovenia,2762.0,Demersal Fish,80.0,168.0,0.47619047619047616
198,Slovenia,2763.0,Pelagic Fish,0.0,9.0,0.0
198,Slovenia,2764.0,"Marine Fish, Other",0.0,5.0,0.0
198,Slovenia,2765.0,Crustaceans,0.0,1.0,0.0
198,Slovenia,2766.0,Cephalopods,0.0,30.0,0.0
198,Slovenia,2767.0,"Molluscs, Other",834.3,835.3,0.998802825332216
198,Slovenia,2769.0,"Aquatic Animals, Others",0.0,1.36,0.0
199,Slovakia,2761.0,Freshwater Fish,2687.54,4552.54,0.5903385802211513
200,Singapore,2761.0,Freshwater Fish,3411.88,3457.83,0.9867113189485892
200,Singapore,2762.0,Demersal Fish,1167.09,1739.17,0.6710614833512537
200,Singapore,2763.0,Pelagic Fish,113.32,442.84,0.25589377653328516
200,Singapore,2764.0,"Marine Fish, Other",15.37,166.11,0.09252904701703689
200,Singapore,2765.0,Crustaceans,195.21,442.48,0.4411724823720846
200,Singapore,2766.0,Cephalopods,0.0,72.13,0.0
200,Singapore,2767.0,"Molluscs, Other",405.05,405.05,1.0
200,Singapore,2769.0,"Aquatic Animals, Others",523.47,523.47,1.0
201,Somalia,2761.0,Freshwater Fish,0.0,200.0,0.0
201,Somalia,2764.0,"Marine Fish, Other",0.0,28700.0,0.0
201,Somalia,2765.0,Crustaceans,0.0,500.0,0.0
201,Somalia,2766.0,Cephalopods,0.0,600.0,0.0
202,South Africa,2761.0,Freshwater Fish,2097.2,2997.2,0.6997197384225277
202,South Africa,2762.0,Demersal Fish,0.0,139882.50999999998,0.0
202,South Africa,2763.0,Pelagic Fish,0.0,280144.88,0.0
202,South Africa,2764.0,"Marine Fish, Other",0.0,9340.230000000001,0.0
202,South Africa,2765.0,Crustaceans,0.0,1972.03,0.0
202,South Africa,2766.0,Cephalopods,0.0,8117.57,0.0
202,South Africa,2767.0,"Molluscs, Other",5092.72,5145.39,0.9897636525122488
202,South Africa,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
202,South Africa,2775.0,Aquatic Plants,2154.54,11154.54,0.19315363968393137
203,Spain,2761.0,Freshwater Fish,17504.68,22246.53,0.7868499042322556
203,Spain,2762.0,Demersal Fish,51303.17,349966.44,0.14659454203665928
203,Spain,2763.0,Pelagic Fish,8125.7300000000005,535318.15,0.015179253683066789
203,Spain,2764.0,"Marine Fish, Other",0.0,908.0699999999999,0.0
203,Spain,2765.0,Crustaceans,184.73999999999998,14881.36,0.012414187950563656
203,Spain,2766.0,Cephalopods,0.81,24388.79,3.321197976611386e-05
203,Spain,2767.0,"Molluscs, Other",230773.14,239028.88,0.965461328354967
203,Spain,2769.0,"Aquatic Animals, Others",0.0,822.84,0.0
203,Spain,2775.0,Aquatic Plants,8.44,3160.73,0.00267026920996099
205,Western Sahara,2764.0,"Marine Fish, Other",0.0,0.0,0.0
205,Western Sahara,2765.0,Crustaceans,0.0,0.0,0.0
205,Western Sahara,2767.0,"Molluscs, Other",0.0,0.0,0.0
206,Sudan (former),2761.0,Freshwater Fish,0.0,0.0,0.0
206,Sudan (former),2762.0,Demersal Fish,0.0,0.0,0.0
206,Sudan (former),2763.0,Pelagic Fish,0.0,0.0,0.0
206,Sudan (former),2764.0,"Marine Fish, Other",0.0,0.0,0.0
206,Sudan (former),2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
206,Sudan (former),2775.0,Aquatic Plants,0.0,0.0,0.0
207,Suriname,2761.0,Freshwater Fish,80.0,930.0,0.08602150537634409
207,Suriname,2762.0,Demersal Fish,0.0,383.0,0.0
207,Suriname,2763.0,Pelagic Fish,0.0,5680.0,0.0
207,Suriname,2764.0,"Marine Fish, Other",0.0,23777.0,0.0
207,Suriname,2765.0,Crustaceans,30.0,6791.0,0.004417611544691504
208,Tajikistan,2761.0,Freshwater Fish,736.0,2452.33,0.3001227404142183
209,Eswatini,2761.0,Freshwater Fish,100.0,165.0,0.6060606060606061
209,Eswatini,2765.0,Crustaceans,0.0,0.0,0.0
210,Sweden,2761.0,Freshwater Fish,9602.0,16973.0,0.5657220291050492
210,Sweden,2762.0,Demersal Fish,0.0,16649.0,0.0
210,Sweden,2763.0,Pelagic Fish,0.0,156382.0,0.0
210,Sweden,2764.0,"Marine Fish, Other",0.0,4.0,0.0
210,Sweden,2765.0,Crustaceans,0.3,3899.3,7.693688610776293e-05
210,Sweden,2766.0,Cephalopods,0.0,9.0,0.0
210,Sweden,2767.0,"Molluscs, Other",1900.0,1923.0,0.9880395215808633
211,Switzerland,2761.0,Freshwater Fish,2018.1000000000001,3389.64,0.5953729599603498
211,Switzerland,2765.0,Crustaceans,30.0,40.8,0.7352941176470589
212,Syrian Arab Republic,2761.0,Freshwater Fish,2255.0,4755.0,0.47423764458464773
212,Syrian Arab Republic,2762.0,Demersal Fish,0.0,565.0,0.0
212,Syrian Arab Republic,2763.0,Pelagic Fish,0.0,760.0,0.0
212,Syrian Arab Republic,2764.0,"Marine Fish, Other",0.0,145.0,0.0
212,Syrian Arab Republic,2765.0,Crustaceans,0.0,70.0,0.0
212,Syrian Arab Republic,2767.0,"Molluscs, Other",0.0,40.0,0.0
212,Syrian Arab Republic,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
213,Turkmenistan,2761.0,Freshwater Fish,90.0,15089.0,0.0059646099807807015
213,Turkmenistan,2762.0,Demersal Fish,0.0,1.0,0.0
213,Turkmenistan,2765.0,Crustaceans,0.0,0.0,0.0
214,"China, Taiwan Province of",2761.0,Freshwater Fish,152871.96,153085.96,0.9986020925759619
214,"China, Taiwan Province of",2762.0,Demersal Fish,39192.4,89543.4,0.43769166683418326
214,"China, Taiwan Province of",2763.0,Pelagic Fish,3109.22,628951.22,0.004943499433867065
214,"China, Taiwan Province of",2764.0,"Marine Fish, Other",2342.5,23132.5,0.10126445477142548
214,"China, Taiwan Province of",2765.0,Crustaceans,17621.15,24539.15,0.7180831446892008
214,"China, Taiwan Province of",2766.0,Cephalopods,0.0,44902.0,0.0
214,"China, Taiwan Province of",2767.0,"Molluscs, Other",73499.6,74529.6,0.9861799875485713
214,"China, Taiwan Province of",2769.0,"Aquatic Animals, Others",2862.0,2866.94,0.9982769084808193
214,"China, Taiwan Province of",2775.0,Aquatic Plants,986.07,1288.5500000000002,0.7652555197702844
215,United Republic of Tanzania,2761.0,Freshwater Fish,16228.0,400584.0,0.04051085415293671
215,United Republic of Tanzania,2762.0,Demersal Fish,0.0,37338.0,0.0
215,United Republic of Tanzania,2763.0,Pelagic Fish,0.0,37765.0,0.0
215,United Republic of Tanzania,2764.0,"Marine Fish, Other",0.0,117.0,0.0
215,United Republic of Tanzania,2765.0,Crustaceans,336.4,5481.4,0.06137118254460539
215,United Republic of Tanzania,2766.0,Cephalopods,0.0,6122.0,0.0
215,United Republic of Tanzania,2769.0,"Aquatic Animals, Others",0.0,514.89,0.0
215,United Republic of Tanzania,2775.0,Aquatic Plants,1449.0,1449.0,1.0
216,Thailand,2761.0,Freshwater Fish,429759.0,559886.0,0.7675830436910371
216,Thailand,2762.0,Demersal Fish,1664.0,137551.0,0.012097331171710857
216,Thailand,2763.0,Pelagic Fish,0.0,566864.0,0.0
216,Thailand,2764.0,"Marine Fish, Other",0.0,451012.0,0.0
216,Thailand,2765.0,Crustaceans,414615.0,533155.0,0.7776631561178269
216,Thailand,2766.0,Cephalopods,0.0,98374.0,0.0
216,Thailand,2767.0,"Molluscs, Other",116135.0,149161.0,0.7785882368715683
216,Thailand,2769.0,"Aquatic Animals, Others",2093.0,10728.0,0.19509694258016405
216,Thailand,2775.0,Aquatic Plants,0.0,0.0,0.0
217,Togo,2761.0,Freshwater Fish,1000.0,7511.0,0.13313806417254692
217,Togo,2762.0,Demersal Fish,0.0,1491.0,0.0
217,Togo,2763.0,Pelagic Fish,0.0,16954.0,0.0
217,Togo,2764.0,"Marine Fish, Other",0.0,560.0,0.0
217,Togo,2765.0,Crustaceans,0.0,18.0,0.0
217,Togo,2766.0,Cephalopods,0.0,13.0,0.0
217,Togo,2767.0,"Molluscs, Other",0.0,0.0,0.0
218,Tokelau,2761.0,Freshwater Fish,0.0,0.0,0.0
218,Tokelau,2762.0,Demersal Fish,0.0,1.0,0.0
218,Tokelau,2763.0,Pelagic Fish,0.0,75.0,0.0
218,Tokelau,2764.0,"Marine Fish, Other",0.0,10.0,0.0
219,Tonga,2761.0,Freshwater Fish,0.0,0.0,0.0
219,Tonga,2762.0,Demersal Fish,0.0,178.0,0.0
219,Tonga,2763.0,Pelagic Fish,0.0,335.0,0.0
219,Tonga,2764.0,"Marine Fish, Other",0.0,700.0,0.0
219,Tonga,2765.0,Crustaceans,0.0,2.0,0.0
219,Tonga,2767.0,"Molluscs, Other",0.0,3.0,0.0
219,Tonga,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
219,Tonga,2775.0,Aquatic Plants,90.0,90.0,1.0
220,Trinidad and Tobago,2761.0,Freshwater Fish,53.0,53.0,1.0
220,Trinidad and Tobago,2762.0,Demersal Fish,0.0,521.5799999999999,0.0
220,Trinidad and Tobago,2763.0,Pelagic Fish,0.0,5535.2699999999995,0.0
220,Trinidad and Tobago,2764.0,"Marine Fish, Other",0.0,6078.34,0.0
220,Trinidad and Tobago,2765.0,Crustaceans,0.0,847.48,0.0
220,Trinidad and Tobago,2766.0,Cephalopods,0.0,0.0,0.0
220,Trinidad and Tobago,2767.0,"Molluscs, Other",0.0,0.0,0.0
221,Oman,2761.0,Freshwater Fish,192.0,192.0,1.0
221,Oman,2762.0,Demersal Fish,862.0,76941.0,0.011203389610220818
221,Oman,2763.0,Pelagic Fish,0.0,482470.0,0.0
221,Oman,2764.0,"Marine Fish, Other",0.0,4168.0,0.0
221,Oman,2765.0,Crustaceans,0.0,1912.0,0.0
221,Oman,2766.0,Cephalopods,0.0,14533.0,0.0
221,Oman,2767.0,"Molluscs, Other",0.0,24.0,0.0
222,Tunisia,2761.0,Freshwater Fish,628.0,1328.0,0.47289156626506024
222,Tunisia,2762.0,Demersal Fish,21925.0,54100.0,0.40526802218114605
222,Tunisia,2763.0,Pelagic Fish,0.0,53767.0,0.0
222,Tunisia,2764.0,"Marine Fish, Other",0.0,4030.0,0.0
