country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
BRN,Pigmeat,extensive,0.0034218246996062874,,0.0034218246996062874
BTN,Pigmeat,extensive,0.23685115198107254,0.51,0.51
BWA,Pigmeat,extensive,0.12272814862287934,0.99,0.99
CAF,Pigmeat,extensive,0.8814094403674403,,0.8814094403674403
CAN,Pigmeat,extensive,0.006250800079040664,0.0,0.0
CEB,Pigmeat,extensive,0.015600569085043602,,0.015600569085043602
CHE,Pigmeat,extensive,0.0021983924413388877,0.004,0.004
CHL,Pigmeat,extensive,0.03264849081326001,0.05,0.05
CHN,Pigmeat,extensive,0.08206945350389834,,0.08206945350389834
CIV,Pigmeat,extensive,0.6292460609864485,0.55,0.55
CMR,Pigmeat,extensive,0.7662924983319863,0.6,0.6
COD,Pigmeat,extensive,0.8789945755943424,0.65,0.65
COG,Pigmeat,extensive,0.7983140710054536,,0.7983140710054536
COL,Pigmeat,extensive,0.12644518458126927,0.5,0.5
COM,Pigmeat,extensive,0.7986873796391077,0.0,0.0
CPV,Pigmeat,extensive,0.5577552610523967,0.99,0.99
CRI,Pigmeat,extensive,0.05190639657131583,0.1,0.1
CSS,Pigmeat,extensive,0.10663329281710746,,0.10663329281710746
CUW,Pigmeat,extensive,0.054546870028322966,,0.054546870028322966
CYM,Pigmeat,extensive,0.00251733364321737,,0.00251733364321737
CYP,Pigmeat,extensive,0.009008406725856122,0.004,0.004
CZE,Pigmeat,extensive,0.009578942896024949,0.003,0.003
DEU,Pigmeat,extensive,0.004738026012489566,0.002,0.002
DJI,Pigmeat,extensive,0.6662843675460214,0.0,0.0
DMA,Pigmeat,extensive,0.23811720154797228,,0.23811720154797228
DNK,Pigmeat,extensive,0.003771206595269022,0.0,0.0
DOM,Pigmeat,extensive,0.07153210340042691,,0.07153210340042691
DZA,Pigmeat,extensive,0.23134106372301338,,0.23134106372301338
EAP,Pigmeat,extensive,0.113055225100926,,0.113055225100926
EAR,Pigmeat,extensive,0.31380285881449244,,0.31380285881449244
EAS,Pigmeat,extensive,0.07199137192999865,,0.07199137192999865
ECA,Pigmeat,extensive,0.04336124958922208,,0.04336124958922208
ECS,Pigmeat,extensive,0.013784896943297214,,0.013784896943297214
ECU,Pigmeat,extensive,0.24722312282202058,,0.24722312282202058
EGY,Pigmeat,extensive,0.2107960548856127,,0.2107960548856127
