country_code,country,diet,type,output_group,origin,kg/cap/yr_by_coo,loss_adj_kcal/cap/day_by_coo
10,Australia,baseline,a_animal,Aquatic animals,domestic,7.054305337338546,8.616007922925029
10,Australia,baseline,a_animal,Aquatic animals,imported,19.418194662661456,24.372497162739034
10,Australia,baseline,plant,Fruits,domestic,61.3132043046122,68.52341934011899
10,Australia,baseline,plant,Fruits,imported,18.244276594638936,18.981196384936684
10,Australia,baseline,plant,Grains,domestic,97.57469724648698,487.65400569443744
10,Australia,baseline,plant,Grains,imported,13.24488887868861,61.31754579006523
10,Australia,baseline,plant,Nuts and seeds,domestic,3.967078166619585,35.54928831685615
10,Australia,baseline,plant,Nuts and seeds,imported,4.704776703060757,45.438770550455544
10,Australia,baseline,plant,Pulses and soy,domestic,4.718553979985483,36.650440296683946
10,Australia,baseline,plant,Pulses and soy,imported,0.49107254478990536,1.3173183464781686
10,Australia,baseline,plant,Starchy roots,domestic,43.63125333850988,48.21544893749231
10,Australia,baseline,plant,Starchy roots,imported,5.840961539861804,6.489582636143399
10,Australia,baseline,plant,Sugars,domestic,111.49086049772734,475.2044441601888
10,Australia,baseline,plant,Sugars,imported,6.263922799728927,37.01637305503448
10,Australia,baseline,plant,Vegetable oils,domestic,14.471393641840898,340.2047329933247
10,Australia,baseline,plant,Vegetable oils,imported,9.466106358159102,228.54526700667532
10,Australia,baseline,plant,Vegetables,domestic,80.4128134646505,51.20052361957191
10,Australia,baseline,plant,Vegetables,imported,16.917999302532596,10.673837100210866
10,Australia,baseline,t_animal,Bovine meat,domestic,28.668478336221835,70.01908239054164
10,Australia,baseline,t_animal,Bovine meat,imported,0.5365216637781616,1.3103853695969976
10,Australia,baseline,t_animal,Dairy,domestic,193.1512560532784,319.47536374568546
10,Australia,baseline,t_animal,Dairy,imported,29.471243946721607,61.834652961935575
10,Australia,baseline,t_animal,Eggs,domestic,8.151509631874564,25.779366932748605
10,Australia,baseline,t_animal,Eggs,imported,0.13955253146210206,0.4413386081135201
10,Australia,baseline,t_animal,Offals,domestic,9.668890480406091,23.405068478344454
10,Australia,baseline,t_animal,Offals,imported,0.010145740273248738,0.024559358319353988
10,Australia,baseline,t_animal,Pig meat,domestic,14.476034879264086,53.35208297307223
10,Australia,baseline,t_animal,Pig meat,imported,11.861465120735915,43.71596756859126
10,Australia,baseline,t_animal,Poultry,domestic,49.08814799756048,159.46821495949754
10,Australia,baseline,t_animal,Poultry,imported,0.6368520024395197,2.068883348939114
10,Australia,baseline,t_animal,Sheep and goat meat,domestic,10.854679665738164,58.69869770099239
