item_index,item,footprint,footprint_type,edible_fraction,median
COM,"Poultry Meat, extensive",3.5576079740338162,mg_abx_bko,0.92,10.738713195954107
Guyana,"Poultry Meat, extensive",12.648955294077478,kg_co2e_bko,0.92,10.245048139642776
SYC,"Poultry Meat, extensive",3.5576079740338162,mg_abx_bko,0.92,10.738713195954107
Guinea-Bissau,"Poultry Meat, extensive",23.979624356258896,kg_co2e_bko,0.92,10.245048139642776
ISR,"Poultry Meat, extensive",11.602881231884057,mg_abx_bko,0.92,10.738713195954107
SYR,"Poultry Meat, extensive",8.191683073671497,mg_abx_bko,0.92,10.738713195954107
Guinea,"Poultry Meat, extensive",20.193388235062766,kg_co2e_bko,0.92,10.245048139642776
CPV,"Poultry Meat, extensive",3.4749732653985506,mg_abx_bko,0.92,10.738713195954107
Guatemala,"Poultry Meat, extensive",9.769335523816501,kg_co2e_bko,0.92,10.245048139642776
ISL,"Poultry Meat, extensive",0.6848257835144925,mg_abx_bko,0.92,10.738713195954107
Guadeloupe,"Poultry Meat, extensive",10.73827803514161,kg_co2e_bko,0.92,10.245048139642776
Haiti,"Poultry Meat, extensive",12.206769912642743,kg_co2e_bko,0.92,10.245048139642776
Zimbabwe,"Poultry Meat, extensive",6.824844490577323,kg_co2e_bko,0.92,10.245048139642776
