country_code,country,fbs_item_code,fbs_item,mt_production
7,Angola,2625,"Fruits, Other",58750.0
7,Angola,2630,Coffee and products,15750.0
7,Angola,2633,Cocoa Beans and products,0.0
7,Angola,2635,Tea (including mate),0.0
7,Angola,2640,Pepper,0.0
7,Angola,2641,Pimento,0.0
7,Angola,2642,Cloves,0.0
7,Angola,2645,"Spices, Other",0.0
7,Angola,2655,Wine,0.0
7,Angola,2656,Beer,1062500.0
7,Angola,2657,"Beverages, Fermented",695750.0
7,Angola,2658,"Beverages, Alcoholic",17750.0
7,Angola,2659,"Alcohol, Non-Food",0.0
7,Angola,2680,Infant food,0.0
7,Angola,2731,Bovine Meat,98750.0
7,Angola,2732,Mutton & Goat Meat,24250.0
7,Angola,2733,Pigmeat,125250.0
7,Angola,2734,Poultry Meat,42500.0
7,Angola,2735,"Meat, Other",9750.0
7,Angola,2736,"Offals, Edible",23500.0
7,Angola,2737,"Fats, Animals, Raw",9500.0
7,Angola,2740,"Butter, Ghee",1000.0
7,Angola,2743,Cream,0.0
7,Angola,2744,Eggs,5000.0
7,Angola,2745,Honey,23000.0
7,Angola,2761,Freshwater Fish,23385.0
7,Angola,2762,Demersal Fish,127467.5
7,Angola,2763,Pelagic Fish,306435.0
7,Angola,2764,"Marine Fish, Other",40155.0
7,Angola,2765,Crustaceans,2702.5
7,Angola,2766,Cephalopods,2957.5
7,Angola,2767,"Molluscs, Other",0.0
7,Angola,2769,"Aquatic Animals, Others",0.0
7,Angola,2775,Aquatic Plants,0.0
7,Angola,2781,"Fish, Body Oil",9200.0
7,Angola,2805,Rice (Milled Equivalent),13500.0
7,Angola,2848,Milk - Excluding Butter,217000.0
7,Angola,2899,Miscellaneous,0.0
7,Angola,2535,Yams,0.0
7,Angola,2536,Sugar cane,620250.0
7,Angola,2541,Sugar non-centrifugal,0.0
7,Angola,2562,Palm kernels,280500.0
7,Angola,2581,Ricebran Oil,0.0
8,Antigua and Barbuda,2511,Wheat and products,0.0
8,Antigua and Barbuda,2513,Barley and products,0.0
8,Antigua and Barbuda,2514,Maize and products,0.0
8,Antigua and Barbuda,2515,Rye and products,0.0
8,Antigua and Barbuda,2516,Oats,0.0
8,Antigua and Barbuda,2517,Millet and products,0.0
8,Antigua and Barbuda,2518,Sorghum and products,0.0
8,Antigua and Barbuda,2520,"Cereals, Other",0.0
8,Antigua and Barbuda,2531,Potatoes and products,0.0
8,Antigua and Barbuda,2532,Cassava and products,0.0
8,Antigua and Barbuda,2533,Sweet potatoes,0.0
8,Antigua and Barbuda,2534,"Roots, Other",0.0
8,Antigua and Barbuda,2537,Sugar beet,0.0
8,Antigua and Barbuda,2542,Sugar (Raw Equivalent),0.0
8,Antigua and Barbuda,2543,"Sweeteners, Other",0.0
8,Antigua and Barbuda,2546,Beans,0.0
8,Antigua and Barbuda,2547,Peas,0.0
8,Antigua and Barbuda,2549,"Pulses, Other and products",0.0
8,Antigua and Barbuda,2551,Nuts and products,0.0
8,Antigua and Barbuda,2555,Soyabeans,0.0
8,Antigua and Barbuda,2556,Groundnuts (Shelled Eq),0.0
8,Antigua and Barbuda,2557,Sunflower seed,0.0
8,Antigua and Barbuda,2558,Rape and Mustardseed,0.0
8,Antigua and Barbuda,2559,Cottonseed,0.0
8,Antigua and Barbuda,2560,Coconuts - Incl Copra,0.0
8,Antigua and Barbuda,2561,Sesame seed,0.0
8,Antigua and Barbuda,2563,Olives (including preserved),0.0
8,Antigua and Barbuda,2570,"Oilcrops, Other",0.0
8,Antigua and Barbuda,2571,Soyabean Oil,0.0
8,Antigua and Barbuda,2572,Groundnut Oil,0.0
8,Antigua and Barbuda,2573,Sunflowerseed Oil,0.0
8,Antigua and Barbuda,2574,Rape and Mustard Oil,0.0
8,Antigua and Barbuda,2575,Cottonseed Oil,0.0
8,Antigua and Barbuda,2576,Palmkernel Oil,0.0
8,Antigua and Barbuda,2577,Palm Oil,0.0
8,Antigua and Barbuda,2578,Coconut Oil,0.0
8,Antigua and Barbuda,2579,Sesameseed Oil,0.0
8,Antigua and Barbuda,2580,Olive Oil,0.0
8,Antigua and Barbuda,2582,Maize Germ Oil,0.0
8,Antigua and Barbuda,2586,"Oilcrops Oil, Other",0.0
8,Antigua and Barbuda,2601,Tomatoes and products,750.0
8,Antigua and Barbuda,2602,Onions,0.0
8,Antigua and Barbuda,2605,"Vegetables, Other",3000.0
8,Antigua and Barbuda,2611,"Oranges, Mandarines",0.0
8,Antigua and Barbuda,2612,"Lemons, Limes and products",0.0
8,Antigua and Barbuda,2613,Grapefruit and products,0.0
8,Antigua and Barbuda,2614,"Citrus, Other",0.0
8,Antigua and Barbuda,2615,Bananas,0.0
8,Antigua and Barbuda,2616,Plantains,0.0
8,Antigua and Barbuda,2617,Apples and products,0.0
8,Antigua and Barbuda,2618,Pineapples and products,0.0
8,Antigua and Barbuda,2619,Dates,0.0
8,Antigua and Barbuda,2620,Grapes and products (excl wine),0.0
8,Antigua and Barbuda,2625,"Fruits, Other",8000.0
8,Antigua and Barbuda,2630,Coffee and products,0.0
8,Antigua and Barbuda,2633,Cocoa Beans and products,0.0
8,Antigua and Barbuda,2635,Tea (including mate),0.0
8,Antigua and Barbuda,2640,Pepper,0.0
8,Antigua and Barbuda,2641,Pimento,0.0
8,Antigua and Barbuda,2642,Cloves,0.0
8,Antigua and Barbuda,2645,"Spices, Other",0.0
8,Antigua and Barbuda,2655,Wine,0.0
8,Antigua and Barbuda,2656,Beer,2000.0
8,Antigua and Barbuda,2657,"Beverages, Fermented",0.0
8,Antigua and Barbuda,2658,"Beverages, Alcoholic",0.0
8,Antigua and Barbuda,2659,"Alcohol, Non-Food",0.0
8,Antigua and Barbuda,2680,Infant food,0.0
8,Antigua and Barbuda,2731,Bovine Meat,0.0
8,Antigua and Barbuda,2732,Mutton & Goat Meat,0.0
8,Antigua and Barbuda,2733,Pigmeat,0.0
8,Antigua and Barbuda,2734,Poultry Meat,0.0
8,Antigua and Barbuda,2735,"Meat, Other",0.0
8,Antigua and Barbuda,2736,"Offals, Edible",0.0
8,Antigua and Barbuda,2737,"Fats, Animals, Raw",0.0
8,Antigua and Barbuda,2740,"Butter, Ghee",0.0
8,Antigua and Barbuda,2743,Cream,0.0
8,Antigua and Barbuda,2744,Eggs,0.0
8,Antigua and Barbuda,2745,Honey,0.0
8,Antigua and Barbuda,2761,Freshwater Fish,10.0
8,Antigua and Barbuda,2762,Demersal Fish,1050.0
8,Antigua and Barbuda,2763,Pelagic Fish,60.0
8,Antigua and Barbuda,2764,"Marine Fish, Other",200.0
8,Antigua and Barbuda,2765,Crustaceans,280.0
8,Antigua and Barbuda,2766,Cephalopods,0.0
8,Antigua and Barbuda,2767,"Molluscs, Other",1580.0
8,Antigua and Barbuda,2775,Aquatic Plants,0.0
8,Antigua and Barbuda,2781,"Fish, Body Oil",0.0
8,Antigua and Barbuda,2782,"Fish, Liver Oil",0.0
8,Antigua and Barbuda,2805,Rice (Milled Equivalent),0.0
8,Antigua and Barbuda,2848,Milk - Excluding Butter,2750.0
8,Antigua and Barbuda,2899,Miscellaneous,0.0
8,Antigua and Barbuda,2535,Yams,0.0
8,Antigua and Barbuda,2536,Sugar cane,0.0
9,Argentina,2511,Wheat and products,16944000.0
9,Argentina,2513,Barley and products,4714500.0
9,Argentina,2514,Maize and products,47398000.0
9,Argentina,2515,Rye and products,78250.0
9,Argentina,2516,Oats,600500.0
9,Argentina,2517,Millet and products,4500.0
9,Argentina,2518,Sorghum and products,2180000.0
9,Argentina,2520,"Cereals, Other",133000.0
9,Argentina,2531,Potatoes and products,2368000.0
9,Argentina,2532,Cassava and products,193500.0
9,Argentina,2533,Sweet potatoes,337500.0
