country_code,country,fbs_item_code,fbs_item,baseline_kg/cap/yr,baseline_kcal/cap/day,baseline_g_pro/cap/day,type,fbs_group,bootstrap_subgroup,output_group,food_loss_group,ignore_extraction_rate,include_in_model,note_x,g_protein/kg,kcal/kg,mcg_b12/kg,%_imported,food_loss_region,loss_%_production,loss_%_postharvest,loss_%_milling,%_unproc,loss_%_proc,loss_%_dist_unproc,loss_%_dist_proc,loss_%_cons_unproc,loss_%_cons_proc,note_y,%_proc,%_after_losses,%_after_losses_postharvest_to_home,baseline_mcg_b12/cap/day,baseline_loss_adj_kg/cap/yr,baseline_loss_adj_g_pro/cap/day,baseline_loss_adj_kcal/cap/day,baseline_loss_adj_mcg_b12/cap/day
1,Armenia,2736,"Offals, Edible",6.454241794589094,19.2624550697058,3.15851489293669,t_animal,Offals,,Offals,meat,,yes,,,,,0.12048192771084337,europe_incl_russia,0.032,0.007,0.0,0.0,0.05,0.0,0.04,0.0,0.11,,1.0,0.8066827893975903,0.906385156626506,0,5.206525774305639,2.5479196041880003,15.53869098627603,0
1,Armenia,2740,"Butter, Ghee",1.5525,30.25,0.0375,t_animal,Animal fats,,Dairy,milk,yes,yes,,,,,0.9444444444444444,europe_incl_russia,0.035,0.005,0.0,0.0,0.012,0.0,0.005,0.0,0.07,,1.0,0.9139918428333332,0.9827869277777777,0,1.4189723359987498,0.034274694106249996,27.64825324570833,0
1,Armenia,2743,Cream,0.025,0.0,0.0,t_animal,Animal fats,,Dairy,milk,yes,yes,,,,,1.0,europe_incl_russia,0.035,0.005,0.0,0.0,0.012,0.0,0.005,0.0,0.07,,1.0,0.9142457999999999,0.9830599999999999,0,0.022856144999999998,0.0,0.0,0
1,Armenia,2744,Eggs,11.861741794589094,45.295434060483416,3.4820864933996627,t_animal,Eggs,,Eggs,eggs,,yes,,,,,0.007042253521126761,europe_incl_russia,0.04,0.0,0.0,0.0,0.005,0.0,0.02,0.0,0.08,,1.0,0.897092,0.9751,0,10.641073669991519,3.12375193653689,40.63417153218719,0
1,Armenia,2745,Honey,0.7175,6.0,0.01,plant,Sugar & Sweeteners,,Sugars,oils_and_sugars,yes,yes,classify as a plant food so it works with the bootstrap method,,,,0.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.7175,0.01,6.0,0
1,Armenia,2761,Freshwater Fish,4.5375,8.5,1.355,a_animal,"Fish, Seafood",,Aquatic animals,fish_and_seafood,,yes,,,,,0.021113602391629294,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8000131311920776,0.8893059440209267,0,3.630059582784052,1.0840177927652652,6.80011161513266,0
1,Armenia,2762,Demersal Fish,0.145,0.0,0.04,a_animal,"Fish, Seafood",Marine fish,Aquatic animals,fish_and_seafood,,yes,,,,,1.0,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8039479999999999,0.8936799999999999,0,0.11657245999999997,0.03215791999999999,0.0,0
1,Armenia,2763,Pelagic Fish,0.73,2.0,0.2125,a_animal,"Fish, Seafood",Marine fish,Aquatic animals,fish_and_seafood,,yes,,,,,1.0,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8039479999999999,0.8936799999999999,0,0.5868820399999999,0.17083894999999996,1.6078959999999998,0
1,Armenia,2764,"Marine Fish, Other",0.165,0.0,0.0574999999999999,a_animal,"Fish, Seafood",Marine fish,Aquatic animals,fish_and_seafood,,yes,,,,,1.0,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8039479999999999,0.8936799999999999,0,0.13265142,0.04622700999999991,0.0,0
1,Armenia,2765,Crustaceans,0.38,0.25,0.0975,a_animal,"Fish, Seafood",,Aquatic animals,fish_and_seafood,,yes,,,,,0.07812499999999999,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8002423021874998,0.8895606937499999,0,0.30409207483124995,0.07802362446328123,0.20006057554687495,0
1,Armenia,2766,Cephalopods,0.0075,0.0,0.0,a_animal,"Fish, Seafood",,Aquatic animals,fish_and_seafood,,yes,,,,,1.0,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8039479999999999,0.8936799999999999,0,0.006029609999999999,0.0,0.0,0
1,Armenia,2767,"Molluscs, Other",0.03,0.0,0.0,a_animal,"Fish, Seafood",Molluscs,Aquatic animals,fish_and_seafood,,yes,,,,,1.0,europe_incl_russia,0.094,0.005,0.0,0.04,0.06,0.09,0.05,0.11,0.1,,0.96,0.8039479999999999,0.8936799999999999,0,0.024118439999999994,0.0,0.0,0
