country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
1,Armenia,high_income,2733,Pigmeat,Pig meat,t_animal,29.03076890954447,1.0
1,Armenia,high_income,2734,Poultry Meat,Poultry,t_animal,30.8376844995046,1.0
1,Armenia,high_income,2736,"Offals, Edible",Offals,t_animal,3.7128119192251954,1.0
1,Armenia,high_income,2740,"Butter, Ghee",Dairy,t_animal,2.8501249010989933,1.0
1,Armenia,high_income,2743,Cream,Dairy,t_animal,3.662453683107388,1.0
1,Armenia,high_income,2744,Eggs,Eggs,t_animal,11.887445059479191,1.0
1,Armenia,high_income,2745,Honey,Sugars,plant,0.6706147972265798,1.0
1,Armenia,high_income,2761,Freshwater Fish,Aquatic animals,a_animal,4.299481132075472,1.0
1,Armenia,high_income,2762,Demersal Fish,Aquatic animals,a_animal,6.698396226415095,1.0
1,Armenia,high_income,2763,Pelagic Fish,Aquatic animals,a_animal,8.52254716981132,1.0
1,Armenia,high_income,2764,"Marine Fish, Other",Aquatic animals,a_animal,2.983490566037736,1.0
1,Armenia,high_income,2765,Crustaceans,Aquatic animals,a_animal,3.429056603773585,1.0
1,Armenia,high_income,2766,Cephalopods,Aquatic animals,a_animal,1.0870754716981132,1.0
1,Armenia,high_income,2767,"Molluscs, Other",Aquatic animals,a_animal,2.482452830188679,1.0
1,Armenia,high_income,2805,Rice (Milled Equivalent),Grains,plant,18.873339948755767,1.0
1,Armenia,high_income,2848,Milk - Excluding Butter,Dairy,t_animal,139.37523769482706,1.0
2,Afghanistan,baseline,2511,Wheat and products,Grains,plant,179.93857382584605,0.9999999999999999
2,Afghanistan,baseline,2513,Barley and products,Grains,plant,1.2943448122102479,1.0
2,Afghanistan,baseline,2514,Maize and products,Grains,plant,2.895536512972027,1.0
2,Afghanistan,baseline,2516,Oats,Grains,plant,0.0475,0.9999999999999999
2,Afghanistan,baseline,2517,Millet and products,Grains,plant,0.17180767633583627,0.9999999999999999
2,Afghanistan,baseline,2531,Potatoes and products,Starchy roots,plant,22.608382155718783,1.0
2,Afghanistan,baseline,2532,Cassava and products,Starchy roots,plant,0.02,1.0
2,Afghanistan,baseline,2533,Sweet potatoes,Starchy roots,plant,0.0175,1.0
2,Afghanistan,baseline,2536,Sugar cane,Sugars,plant,0.04084605801501769,1.0
2,Afghanistan,baseline,2542,Sugar (Raw Equivalent),Sugars,plant,14.3575,1.0
2,Afghanistan,baseline,2543,"Sweeteners, Other",Sugars,plant,0.7500000000000001,1.0
2,Afghanistan,baseline,2546,Beans,Pulses and soy,plant,0.0175,1.0
2,Afghanistan,baseline,2547,Peas,Pulses and soy,plant,0.5,1.0
2,Afghanistan,baseline,2549,"Pulses, Other and products",Pulses and soy,plant,2.3080767633583625,1.0
2,Afghanistan,baseline,2551,Nuts and products,Nuts and seeds,plant,1.125576763358363,1.0
2,Afghanistan,baseline,2555,Soyabeans,Pulses and soy,plant,0.015000000000000001,1.0
2,Afghanistan,baseline,2556,Groundnuts (Shelled Eq),Nuts and seeds,plant,0.9200000000000002,1.0
2,Afghanistan,baseline,2560,Coconuts - Incl Copra,Nuts and seeds,plant,0.07750000000000001,1.0
2,Afghanistan,baseline,2561,Sesame seed,Nuts and seeds,plant,0.4219614106866903,1.0
2,Afghanistan,baseline,2563,Olives (including preserved),Vegetables,plant,0.0818076763358363,1.0
2,Afghanistan,baseline,2570,"Oilcrops, Other",Nuts and seeds,plant,0.050153734350854,1.0
2,Afghanistan,baseline,2571,Soyabean Oil,Vegetable oils,plant,0.3,1.0
2,Afghanistan,baseline,2573,Sunflowerseed Oil,Vegetable oils,plant,1.3625000000000003,1.0
2,Afghanistan,baseline,2574,Rape and Mustard Oil,Vegetable oils,plant,0.0549999999999999,1.0
2,Afghanistan,baseline,2575,Cottonseed Oil,Vegetable oils,plant,0.1,1.0
2,Afghanistan,baseline,2577,Palm Oil,Vegetable oils,plant,4.7875,0.9999999999999998
2,Afghanistan,baseline,2578,Coconut Oil,Vegetable oils,plant,0.0025,1.0
2,Afghanistan,baseline,2579,Sesameseed Oil,Vegetable oils,plant,0.0325,1.0
2,Afghanistan,baseline,2580,Olive Oil,Vegetable oils,plant,0.02,1.0
2,Afghanistan,baseline,2582,Maize Germ Oil,Vegetable oils,plant,0.07,1.0
2,Afghanistan,baseline,2601,Tomatoes and products,Vegetables,plant,2.6425,1.0
2,Afghanistan,baseline,2602,Onions,Vegetables,plant,6.199460372516049,1.0
2,Afghanistan,baseline,2605,"Vegetables, Other",Vegetables,plant,58.99017633583628,1.0
2,Afghanistan,baseline,2611,"Oranges, Mandarines",Fruits,plant,3.595,0.9999999999999999
2,Afghanistan,baseline,2612,"Lemons, Limes and products",Fruits,plant,0.025000000000000005,1.0000000000000002
2,Afghanistan,baseline,2613,Grapefruit and products,Fruits,plant,0.0225,1.0
2,Afghanistan,baseline,2614,"Citrus, Other",Fruits,plant,1.7137690870225268,1.0
2,Afghanistan,baseline,2615,Bananas,Fruits,plant,2.8625000000000003,1.0
