fbs_item_code,fbs_item,bootstrap_subgroup,fbs_group,footprint_type,output_group,footprint,weight,distribution_group_level
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.39386000000000004,0.14285714285714285,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.467,0.14285714285714285,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.487306,0.07142857142857142,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5,0.03571428571428571,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5,0.03571428571428571,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5,0.03571428571428571,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5,0.03571428571428571,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5093167701863355,0.14285714285714285,fbs_item_code
2514,Maize and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5615245,0.07142857142857142,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.223,0.33333333333333326,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.298,0.16666666666666663,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.537,0.16666666666666663,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.84,0.11111111111111109,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.84,0.11111111111111109,fbs_item_code
2515,Rye and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.87,0.11111111111111109,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.20500000000000002,0.1,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.219,0.2,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.323,0.1,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.51,0.1,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5355000000000001,0.2,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.54,0.06666666666666667,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.54,0.06666666666666667,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.57,0.06666666666666667,fbs_item_code
2516,Oats,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.58,0.1,fbs_item_code
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.086,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.132,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.136,0.005747126436781603,fbs_group
