item_index,item,footprint,footprint_type,edible_fraction,median,n
Guyana,"Sheep
& goat

N=176",46.93702904521553,kg_co2e,0.71,35.46472316692549,176
Malawi,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Malawi,"Sheep
& goat

N=176",58.21376929679322,kg_co2e,0.71,35.46472316692549,176
Puerto Rico,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Madagascar,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Malaysia,"Sheep
& goat

N=176",51.70158329158064,kg_co2e,0.71,35.46472316692549,176
Qatar,"Sheep
& goat

N=226",295.3999328222163,abx,0.71,484.2695171751262,226
Luxembourg,"Sheep
& goat

N=226",129.7000189503056,abx,0.71,484.2695171751262,226
Guinea-Bissau,"Sheep
& goat

N=176",33.98550613486217,kg_co2e,0.71,35.46472316692549,176
Republic of Korea,"Sheep
& goat

N=226",140.43604511263484,abx,0.71,484.2695171751262,226
Lithuania,"Sheep
& goat

N=226",81.41094386393836,abx,0.71,484.2695171751262,226
Mali,"Sheep
& goat

N=176",21.170993310459334,kg_co2e,0.71,35.46472316692549,176
Liechtenstein,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Guinea,"Sheep
& goat

N=176",32.77022701155481,kg_co2e,0.71,35.46472316692549,176
Malta,"Sheep
& goat

N=176",9.7265930388658,kg_co2e,0.71,35.46472316692549,176
Rwanda,"Sheep
& goat

N=176",36.559353233185924,kg_co2e,0.71,35.46472316692549,176
Suriname,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Egypt,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Chad,"Sheep
& goat

N=176",44.435578944886174,kg_co2e,0.71,35.46472316692549,176
Wallis and Futuna Islands,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Brazil,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Western Sahara,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Central African Republic,"Sheep
& goat

N=176",77.76930237244696,kg_co2e,0.71,35.46472316692549,176
Yemen,"Sheep
& goat

N=226",295.3999328222163,abx,0.71,484.2695171751262,226
Botswana,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Tunisia,"Sheep
& goat

N=176",30.842424892423303,kg_co2e,0.71,35.46472316692549,176
Cayman Islands,"Sheep
& goat

N=176",37.289564788678796,kg_co2e,0.71,35.46472316692549,176
Bosnia and Herzegovina,"Sheep
& goat

N=226",484.27829112511876,abx,0.71,484.2695171751262,226
Zambia,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
British Virgin Islands,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
