FishstatJ commodity metadata for trade matrix,,
FAO. 2021. Fishery and Aquaculture Statistics. Global fish trade - By partner country. 2019 (FishstatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2021. www.fao.org/fishery/statistics/software/fishstatj/en,,
FAO_CODE,NAME.EN,EBXID
034.4.1.4,"Diadromous fish fillets, frozen",288
034.4.1.5,"Marine fish fillets, frozen",289
034.4.1.5.2.40,"Saithe (=Pollock) fillets, frozen",290
034.4.1.5.2.45,"Alaska pollock fillets, frozen",291
034.4.1.5.2.53,"Whiting fillets, frozen",292
034.4.1.5.2.90,"Gadiformes fillets, frozen, nei",294
034.4.1.5.4.09,"Wolffish (=Catfish) fillets, frozen",295
034.4.1.5.4.41,"Atlantic redfishes, fillets, frozen",296
034.4.1.5.3.90,"Miscellaneous coastal fishes fillets, frozen,  nei",297
034.4.1.5.7.75,"Amberjack fillets, frozen",298
034.4.1.5.4.90,"Miscellaneous demersal fish, fillets, frozen, nei",299
034.4.1.5.5.11,"Atlantic herring fillets, frozen",300
034.4.1.5.5.12,"Pacific herring fillets, frozen",301
034.4.1.5.5.19,"Herring nei, fillets, frozen",302
034.4.1.5.5.20,"Pilchard fillets, frozen",303
034.4.1.5.5.90,"Clupeoids nei, fillets, frozen",304
034.4.1.5.6.90,"Tuna loins and fillets, frozen",305
034.4.1.5.7.69,"Mackerel fillets, frozen",306
034.4.1.5.8.70,"Shark fillets nei, frozen",307
034.4.1.5.9.90,"Marine fish fillets, frozen, nei",308
034.4.2.3.9.90,"Freshwater fish fillets in blocks, frozen nei",309
034.4.2.4.3.90,"Salmonoids fillets in blocks, frozen",310
034.4.2.5.1.90,"Flatfish fillets in blocks, frozen, nei",311
034.4.1.5.3,"Miscellaneous coastal fish, fillets, frozen",312
034.4.1.5.4,"Miscellaneous demersal fish, fillets, frozen",313
034.4.1.5.5,"Herrings, sardines, anchovies, etc. fillets, frozen",314
034.4.1.5.6,"Tunas, bonitos, billfishes, etc. fillets, frozen",315
034.4.1.5.7,"Miscellaneous pelagic fish, etc. fillets, frozen",316
034.4.1.5.8,"Sharks, rays, chimaeras, etc. fillets, frozen",317
034.4.1.5.9,"Miscellaneous marine fish fillets, frozen",318
034.4.2.3.9,"Miscellaneous freshwater fish fillets in blocks, frozen",319
034.4.2.4.3,"Salmons, trouts, smelts, etc. fillets in blocks, frozen",320
034.4.2.5.1,"Flounders, halibuts, soles, etc. fillets in blocks, frozen",321
034.4.2,"Fish fillets in blocks, frozen",322
034.4.2.3,"Freshwater fish fillets in blocks, frozen",323
034.4.2.4,"Diadromous fish fillets in blocks, frozen",324
034.4.2.5,"Marine fish fillets in blocks, frozen",325
034.4.2.5.2.11,"Atlantic cod, fillets in blocks, frozen",326
034.4.2.5.2.12,"Pacific cod fillets in blocks, frozen",327
034.4.2.5.2.19,"Cod fillets in blocks, frozen, nei",328
034.4.2.5.2.30,"Haddock fillets in blocks, frozen",329
034.4.2.5.2.40,"Saithe (=Pollock) fillets in blocks, frozen",330
034.4.2.5.2.45,"Alaska pollock fillets in blocks, frozen",331
034.4.2.5.2.60,"Hake fillets in blocks, frozen",332
034.4.2.5.4.41,"Atlantic redfishes fillets in blocks, frozen",333
034.4.2.5.9.90,"Marine fish fillets in blocks, nei, frozen",334
034.4.3.5.1.90,"Flatfish portions and sticks, frozen",335
034.4.3.5.2.19,"Cod portions and sticks, frozen",336
034.4.3.5.2.30,"Haddock portions and sticks, frozen",337
034.4.3.5.2.45,"Alaska pollock, portions and sticks, frozen",338
034.4.3.5.2.60,"Hake portions and sticks, frozen",339
034.4.3.5.9.90,"Fish portions and sticks, nei, frozen",340
034.1.4.4,"Shads, fresh or chilled",341
034.1.4.4.10,"Shads, nei, fresh or chilled",342
034.4.2.5.2,"Cods, hakes, haddocks, etc. fillets in blocks, frozen",343
034.4.2.5.3,"Miscellaneous coastal fish, fillets in blocks, frozen",344
034.4.2.5.9,"Miscellaneous marine fish fillets in blocks, frozen",345
034.4.3.5.1,"Flounders, halibuts, soles, etc. portions and sticks, frozen",346
034.4.3.5.2,"Cods, hakes, haddocks, etc. portions and sticks, frozen",347
034.4.3.5.9,"Miscellaneous marine fish, portions and sticks, frozen",348
037.2.2.1.9.95,"Molluscs and other aq. invertebrates, prep. or pres., nei",349
034.4.3,"Fish portions and sticks, frozen",351
034.4.3.5,"Marine fish portions and sticks, frozen",352
035.02.3.5.3,"Miscellaneous coastal fish, fillets, dried, salted or in brine",354
035.02.3.5.3.90,"Miscellaneous coastal fish nei, fillets, dried, salted or in brine",356
035.02.1.5.2.12,"Cod, salted and dried (klipfish)",357
411.12.4.4.10,Shad oil,358
035.02.2.5.3.49,"Mullet, salted",362
035.02.3.9.1.21,"Cod roes, salted or sugar salted",363
035.02.3.9.1.22,"Alaska pollock, roes, pickled",364
035.02.3.9.1.24,"Herring roes, dried",365
035.02.3.9.1.25,"Herring roes, cured",366
035.02.2.5.1.90,"Flatfish, salted or in brine, nei",368
035.02.2.5.2.11,"Atlantic cod, salted or in brine",369
035.02.2.4.5.90,"Miscellaneous diadromous fish, salted or in brine, nei",370
035.02.3.5.2.60,"Hakes, fillets, dried, salted or in brine",372
035.02.3.9.1.26,"Salmon roes, cured",373
035.02.3.9.1.27,"Lumpfish roes, salted",374
036.0.1.4.3.31,"Norway lobsters (Nephrops spp.), whole, frozen",375
035.02.3.5.8.90,"Sharks, rays, etc., fillets, dried, salted or in brine, nei",378
035.02.1.5.2.90,"Gadiformes nei, dried, unsalted",379
035.01.1,Fishmeal fit for human consumption,382
035.02.1.5.2,"Cods, hakes, haddocks, etc., dried, whether or not salted",384
035.02.3.3.9,"Miscellaneous freshwater fish, fillets, dried, salted or in brine",386
035.02.3.4.3,"Salmons, trouts, smelts, etc., fillets, dried, salted or in brine",387
035.02.3.4.5,"Miscellaneous diadromous fish, fillets, dried, salted or in brine",388
035.02.3.5.1,"Flounders, halibuts, soles, etc., fillets, dried, salted or in brine",389
035.02.3.5.2,"Cods, hakes, haddocks, etc., fillets, dried, salted or in brine",390
035.02.3.5.4,"Miscellaneous demersal fish, fillets, dried, salted or in brine",391
035.02.3.5.5,"Herrings, sardines, anchovies, etc., fillets, dried, salted or in brine",392
035.01.1.90,"Fishmeal fit for human consumption, nei",393
035.02.1.5.2.11,"Cod, dried, unsalted (stockfish)",394
035.02.1.5.2.19,"Cods nei, dried,  whether or not salted",395
035.02.1.5.2.60,"Hakes, dried, unsalted",396
035.02.1.5.4.90,"Groundfish, dried, unsalted, nei",397
035.02.3.9.2.31,"Shark fins, dried, unsalted",399
035.02.3.3.9.90,"Freshwater fish nei, fillets, dried, salted, or in brine",400
035.02.2.4.3.39,"Salmons, salted or in brine",401
035.02.2.4.3.391,"Salmon sides, salted or in brine",402
035.02.1.4.3.50,"Trouts, dried, salted",403
035.02.3.5.5.90,"Clupeoids nei, fillets, dried, salted or in brine",405
035.02.3.5.1.13,"Greenland halibut fillets, dried, salted or in brine",406
035.03.3,"Freshwater fish, smoked",407
035.02.3.5.2.11,"Cod nei fillets, dried, salted or in brine",408
035.03.3.9,"Miscellaneous freshwater fish, smoked",409
035.03.3.9.90,"Miscellaneous freshwater fish, smoked",410
035.02.1.5.2.95,"Gadiformes nei, dried and salted",411
035.02.2.5.2.90,"Gadiformes, salted or in brine, nei",412
035.02.3.5.4.90,"Miscellaneous demersal fish nei, fillets, dried, salted or in brine",414
035.02.1.5.3.90,"Miscellaneous coastal fish, nei, dried, unsalted",415
035.02.3.5.5.191,"Herring fillets, dried, salted or in brine",416
035.03.5.4.12,"Snoeks, smoked",418
035.02.3.9,"Miscellaneous fish products, dried, salted or in brine",420
35.03,Fish smoked,421
035.03.4,"Diadromous fish, smoked",422
035.03.5,"Marine fishes, smoked",423
035.03.9,"Miscellaneous fish products, smoked",424
035.02.3.5.6,"Tunas, bonitos, billfishes, etc., fillets, dried, salted or in brine",425
035.02.3.5.7,"Miscellaneous pelagic fish, fillets, dried, salted or in brine",426
035.02.3.5.8,"Sharks, rays, chimaeras, etc., fillets, dried, salted or in brine",427
035.02.3.5.9,"Miscellaneous marine fish, fillets, dried, salted or in brine",428
035.02.3.9.1,"Fish livers, roes, milt etc., dried, salted or in brine",429
035.03.4.2,"River eels, smoked",430
035.03.4.3,"Salmons, trouts, smelts, etc., smoked",431
035.03.4.5,"Miscellaneous diadromous fish, smoked",432
035.03.5.1,"Flounders, halibuts, soles, etc., smoked",433
035.03.5.2,"Cods, hakes, haddocks, etc., smoked",434
035.03.5.5,"Herrings, sardines, anchovies, etc., smoked",435
035.03.5.6,"Tunas, bonitos, billfishes, etc., smoked",436
035.03.5.7,"Miscellaneous pelagic fish, smoked",437
035.03.5.9,"Miscellaneous marine fish, smoked",438
035.03.9.1,"Fish livers, roes, etc., smoked",439
035.02.2.5.6.90,"Tunas nei, salted or in brine",440
035.02.2.5.7.69,"Mackerels nei, salted or in brine",442
035.02.3.5.8.70,"Sharks, fillets, dried, salted or in brine",443
035.02.2.5.4.91,"Groundfish nei, salted or in brine",444
035.02.2.6.90,"Fish nei, salted or in brine",445
035.02.3.5.9.99,"Marine fish, fillets, dried, salted or in brine, nei",448
035.02.3.9.1.10,"Fish livers, dried, salted or in brine",449
035.02.3.9.1.29,"Fish roes, dried, salted or in brine, nei",450
035.02.3.9.2.32,"Shark fins, smoked, dried, whether or not salted, etc.",451
035.02.3.9.1.90,"Livers, roes, milt, dried, salted or in brine, nei",452
035.03.4.2.10,"Eels, smoked",453
035.03.4.3.39,"Salmons, smoked",454
035.03.4.5.90,"Diadromous fish, nei, smoked",455
035.03.5.1.11,"Atlantic halibut, smoked",456
035.03.5.1.13,"Greenland halibut, smoked",457
035.03.5.2.19,"Cods, smoked",458
035.03.5.2.30,"Haddock, smoked",459
035.03.5.5.11,"Atlantic herring, smoked",460
035.03.5.5.19,"Herrings nei, smoked",461
035.03.5.5.50,"Sardines and sprats, smoked",462
035.03.5.6.20,"Skipjack tuna, smoked",463
035.03.5.6.90,"Tunas nei, smoked",464
035.03.5.7.69,"Mackerels, smoked",465
035.03.5.9.90,"Marine fish fillets, smoked",466
035.03.5.9.95,"Marine fish nei, smoked",467
035.03.9.1.90,"Livers and roes, smoked",468
36,"Crustaceans, molluscs, aq. inver, live,fresh,chilled,frozen, salted, in brine or dried, smoked",469
036.0.1,"Crustaceans, live, fresh, chilled, frozen, salted, in brine or dried, smoked",470
036.0.1.1,"Crustaceans live, not for human consumption",471
036.0.1.3,"Crustaceans live, fresh, chilled or boiled in water",473
036.0.1.1.1,"Miscellaneous crustaceans live, not for human consumption",474
036.0.1.3.1,"Freshwater crustaceans, live, fresh or chilled",476
036.0.1.3.2,"Crabs, live, fresh or chilled",477
