country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
9,Argentina,imported,baseline,plant,Vegetables,2602,Onions,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,5.243097134655347e-09,44146750.0,2.3146569842934597e-10
9,Argentina,imported,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,5.307535052761e-07,44146750.0,2.3431042309048054e-08
9,Argentina,imported,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.01837916566142812,44146750.0,0.0008113804316636519
9,Argentina,imported,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.17818298772726604,44146750.0,0.007866199813448682
9,Argentina,imported,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.009445007408259843,44146750.0,0.0004169663808005952
10,Australia,domestic,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Oceania,High income,yes,0.12885409189296929,24737250.0,0.0031874958846793543
10,Australia,domestic,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Oceania,High income,yes,0.0,24737250.0,0.0
10,Australia,domestic,baseline,a_animal,Aquatic animals,2763,Pelagic Fish,mg_abx_total,Oceania,High income,yes,0.018672356798021202,24737250.0,0.00046190275820184987
10,Australia,domestic,baseline,a_animal,Aquatic animals,2764,"Marine Fish, Other",mg_abx_total,Oceania,High income,yes,0.02061289342201061,24737250.0,0.000509906297803632
10,Australia,domestic,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Oceania,High income,yes,0.007360588331342387,24737250.0,0.00018208071369949942
10,Australia,domestic,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Oceania,High income,yes,0.024550488668077363,24737250.0,0.0006073115758043967
