country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
2,Afghanistan,domestic,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,South Asia,Low income,no,0.00676279748744352,36723250.0,0.0002483519028307602
2,Afghanistan,domestic,baseline,t_animal,Sheep and goat meat,2732,Mutton & Goat Meat,mg_abx_total,South Asia,Low income,no,0.8861259484834432,36723250.0,0.032541424737644604
2,Afghanistan,imported,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,South Asia,Low income,no,0.009854170130048513,36723250.0,0.00036187715322830405
2,Afghanistan,imported,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,South Asia,Low income,no,7.115196669306991e-05,36723250.0,2.6129314608612802e-06
2,Afghanistan,imported,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,South Asia,Low income,no,6.403677002376271e-05,36723250.0,2.351638314775145e-06
2,Afghanistan,imported,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,South Asia,Low income,no,0.0030707370207507224,36723250.0,0.00011276744329728396
2,Afghanistan,imported,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,South Asia,Low income,no,0.002636392423223357,36723250.0,9.681689805613716e-05
2,Afghanistan,imported,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,South Asia,Low income,no,2.313547056377064e-08,36723250.0,8.496096693809902e-10
2,Afghanistan,imported,baseline,plant,Fruits,2619,Dates,mg_abx_total,South Asia,Low income,no,0.0013803481538455643,36723250.0,5.069087034070912e-05
2,Afghanistan,imported,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,South Asia,Low income,no,0.00015230415399786752,36723250.0,5.593103523302189e-06
2,Afghanistan,imported,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,South Asia,Low income,no,4.516223732497e-07,36723250.0,1.6585041318443667e-08
2,Afghanistan,imported,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
